+---------------------+-----------------------------+-------------------------------------------------------------+-----------------------------+------------------------------------------+-----------------------------+------------------------------------------+
| id                  | nombre requisito            | descripción                                                 | entradas                    | proceso                                  | salidas                     | criterios de aceptación                  |
| RF-BCK-PRO-016   | Notificación pre-aprobada     | Enviar notificación/correo a admin cuando propiedad es pre-aprobada.    | Estado propiedad             | Procesar y enviar notificación             | Notificación enviada         | Notificación llega correctamente          |
| RF-BCK-PRO-017   | Geolocalización propiedad     | Propiedades deben tener latitud y longitud.                             | Datos propiedad              | Capturar y guardar geolocalización         | Geolocalización registrada  | Datos correctos y completos               |
| RF-BCK-PRO-018   | Edición avanzada multimedia   | Gestión multimedia debe incluir edición avanzada de fotos y videos.     | Archivos multimedia          | Procesar edición avanzada                  | Multimedia editada           | Funcionalidad avanzada disponible         |
| RF-BCK-PRO-019   | SEO en título/descripción     | Definir metadatos SEO para título y descripción de propiedad.           | Datos SEO                    | Guardar y mostrar metadatos                | SEO registrado               | Metadatos visibles y editables            |
| RF-BCK-PRO-020   | SEO en fotografías            | Definir metadatos SEO para fotografías de propiedad.                    | Datos SEO                    | Guardar y mostrar metadatos                | SEO registrado               | Metadatos visibles y editables            |
| RF-BCK-PRO-022   | Notificación pre-aprobada comunidad | Notificar a miembro comunidad si su propiedad es pre-aprobada.   | Estado propiedad, usuario    | Procesar y enviar notificación             | Notificación enviada         | Notificación llega correctamente          |
| RF-BCK-PRO-023   | Valor en pesos o UF           | El valor de la propiedad se define solo en pesos o en UF.               | Datos propiedad              | Validar y guardar valor                    | Valor registrado             | Solo un tipo de valor permitido           |
| RF-BCK-TIP-024   | CRUD tipos de propiedad       | Crear, ver, editar y eliminar tipos de propiedad.                       | Datos tipo propiedad         | Procesar operaciones CRUD                  | Tipos gestionados            | Operaciones CRUD funcionales              |
| RF-BCK-TIP-025   | Campos requeridos tipo prop.  | Tipos de propiedad requieren nombre y descripción breve.                 | Datos tipo propiedad         | Validar y guardar campos                   | Tipo registrado              | Campos obligatorios presentes             |
| RF-BCK-TIP-026   | Activar/desactivar tipo prop. | Permitir activar o desactivar tipos de propiedad.                       | Estado tipo propiedad        | Cambiar estado                             | Estado actualizado           | Estado refleja configuración              |
| RF-BCK-TIP-027   | Ocultar tipo desactivado      | Tipo desactivado no aparece en stepper de publicación portal.            | Estado tipo propiedad        | Filtrar tipos en formulario                | Tipos visibles               | Solo tipos activos aparecen               |
| RF-BCK-TIP-028   | Habilitar/deshabilitar campos | Habilitar/deshabilitar campos según tipo de propiedad.                  | Configuración tipo propiedad | Guardar configuración                      | Configuración aplicada        | Solo campos habilitados visibles          |
| RF-BCK-TIP-029   | Visualización tipos en tarjetas| Mostrar tipos de propiedad en tarjetas con nombre, descripción, estado y cantidad. | Datos tipo propiedad         | Renderizar tarjetas                        | Tarjetas visibles             | Datos completos y actualizados            |
| RF-BCK-SOL-031   | Aprobar/rechazar solicitudes  | Admin puede aprobar o rechazar solicitudes de publicación.              | Solicitud                    | Procesar aprobación/rechazo                | Estado actualizado            | Flujo de aprobación correcto              |
| RF-BCK-SOL-032   | Crear propiedad desde solicitud| Al crear solicitud, se crea propiedad en estado 'Proceso de publicación'.| Solicitud                    | Crear propiedad automáticamente            | Propiedad creada              | Propiedad aparece en sistema              |
| RF-BCK-SOL-033   | Publicar propiedad desde solicitud| Al aprobar solicitud, propiedad pasa a 'Publicada'.                 | Solicitud aprobada            | Cambiar estado propiedad                   | Estado actualizado            | Propiedad visible en portal               |
| RF-BCK-SOL-035   | Invitación a registro         | Si solicitante no es usuario, enviar correo de invitación a registro.   | Solicitud, email             | Procesar y enviar invitación                | Correo enviado                | Invitación llega correctamente            |
| RF-BCK-SOL-036   | Tipo de solicitud en grilla   | Mostrar tipo de solicitud (independiente/valoración) en grilla.         | Solicitud                    | Consultar y mostrar tipo                    | Tipo visible                  | Tipo correcto en grilla                   |
| RF-BCK-SOL-037   | Asignar solicitud a agente/admin| Solicitud puede ser asignada a agente o admin para gestión.           | Solicitud, usuario           | Procesar asignación                         | Solicitud asignada            | Asignación correcta y visible             |
| RF-BCK-SOL-038   | Foto obligatoria en solicitud | Solicitud debe tener al menos una foto subida.                          | Solicitud, foto              | Validar y guardar foto                      | Foto registrada               | No permite guardar sin foto               |
| RF-BCK-SOL-039   | Restricción tamaño multimedia | Restringir tamaño de videos y fotos subidos en solicitud.               | Archivos multimedia          | Validar tamaño                              | Archivo aceptado/rechazado    | Solo archivos válidos permitidos           |
| RF-BCK-SOL-040   | Propiedad destacada           | Admin puede definir propiedad como destacada.                           | Propiedad                    | Cambiar estado destacado                    | Propiedad destacada           | Estado reflejado en portal                 |
| RF-BCK-SOL-041   | Propiedad visible en home     | Admin puede definir propiedad como visible en home del portal.           | Propiedad                    | Cambiar visibilidad                         | Propiedad visible             | Aparece en home del portal                 |
| RF-BCK-VAL-043   | Grilla de valoraciones        | Listar valoraciones en grilla con correo y si solicitó publicación.     | Valoraciones                 | Consultar y mostrar en grilla                | Grilla visible                | Datos completos y correctos                |
| RF-BCK-VAL-044   | Gestión de solicitudes valoración| Permitir gestión de solicitudes de valorización de propiedades.      | Solicitudes valoración       | Procesar gestión                             | Solicitud gestionada           | Flujo de gestión correcto                  |
| RF-BCK-CON-046   | Grilla de contratos           | Listar contratos en grilla.                                             | Contratos                    | Consultar y mostrar en grilla                | Grilla visible                 | Datos completos y correctos                |
| RF-BCK-CON-047   | Documentos por contrato       | Gestionar documentos asociados a contrato y persona.                    | Contrato, documentos         | Procesar y guardar documentos                | Documentos gestionados         | Documentos correctos y accesibles          |
| RF-BCK-CON-048   | Subida de documentos         | Permitir subir documentos PDF o imagen asociados a contrato.            | Archivos usuario             | Procesar y guardar archivos                  | Documentos subidos             | Archivos accesibles y correctos            |
| RF-BCK-CON-049   | Gestión de personas contrato  | Gestionar personas relacionadas a contrato.                             | Contrato, personas           | Procesar y guardar relación                   | Personas asociadas             | Relación correcta y visible                |
| RF-BCK-CON-050   | Gestión de pagos arriendo     | Al cerrar contrato de arriendo, generar meses a pagar automáticamente.  | Contrato, duración           | Calcular y generar pagos                      | Pagos generados                | Pagos correctos y automáticos              |
| RF-BCK-ADM-052   | Admin como agente             | Admin puede ser asignado a propiedades y solicitudes como agente.       | Admin, propiedad/solicitud   | Procesar asignación                            | Asignación realizada           | Flujo correcto y visible                   |
| RF-BCK-ADM-053   | Visualización admin en tarjetas| Visualizar admin en tarjetas con foto, contacto y estado.              | Datos admin                  | Renderizar tarjetas                             | Tarjetas visibles              | Datos completos y actualizados              |
| RF-BCK-ADM-054   | Gestión de roles y permisos   | Gestionar roles y permisos en el Backoffice.                           | Datos roles/usuarios         | Procesar y guardar configuración                | Roles/permisos gestionados     | Configuración correcta y segura             |
| RF-BCK-ADM-055   | Asignar propiedades/solicitudes| Asignar propiedades y solicitudes a agentes.                         | Propiedad/solicitud, agente  | Procesar asignación                              | Asignación realizada           | Flujo correcto y visible                    |
| RF-BCK-AGE-057   | Visualización agentes en tarjetas| Visualizar agentes en tarjetas con foto, contacto, experiencia y estado.| Datos agente                 | Renderizar tarjetas                                | Tarjetas visibles              | Datos completos y actualizados               |
| RF-BCK-AGE-058   | Indicadores de rendimiento    | Mostrar indicadores: asignadas vs. vendidas/arrendadas, tasa de cierre.| Datos agente                 | Calcular y mostrar indicadores                      | Indicadores visibles           | Datos correctos y actualizados               |
| RF-BCK-AGE-059   | Acceso agentes a clientes     | Agentes acceden a propiedades asignadas y clientes interesados.        | Sesión agente                | Consultar y mostrar información                      | Información visible            | Acceso correcto y seguro                     |
| RF-BCK-CMR-060   | CRUD mensajes de contacto     | Crear, ver, editar y eliminar mensajes de contacto.                    | Datos mensaje                | Procesar operaciones CRUD                              | Mensajes gestionados           | Operaciones CRUD funcionales                  |
| RF-BCK-CMR-061   | Grilla de mensajes            | Listar mensajes en grilla.                                             | Mensajes                     | Consultar y mostrar en grilla                              | Grilla visible                 | Datos completos y correctos                   |
| RF-BCK-CMR-062   | Estados de mensajes           | Mensajes tienen estados: pendiente, leído, respondido.                 | Mensaje                      | Cambiar y mostrar estado                                   | Estado actualizado              | Flujo de estados correcto                     |
| RF-BCK-SLI-063   | CRUD sliders                  | Crear, ver, editar y eliminar sliders (imagen/video).                  | Datos slider                  | Procesar operaciones CRUD                                 | Sliders gestionados             | Operaciones CRUD funcionales                   |
| RF-BCK-SLI-064   | Duración sliders              | Programar duración de cada imagen o video en slider.                   | Datos slider                  | Guardar duración                                         | Duración registrada              | Duración correcta y editable                   |
| RF-BCK-SLI-065   | Fechas de actividad slider    | Definir fechas de inicio y fin para cada slider.                       | Datos slider                  | Guardar fechas                                            | Fechas registradas               | Fechas correctas y editables                   |
| RF-BCK-SLI-066   | SEO y métricas en slider      | Definir SEO y visualizar métricas de clics en slider.                  | Datos slider                  | Guardar SEO y mostrar métricas                             | SEO/métricas visibles            | Datos correctos y actualizados                 |
| RF-BCK-SLI-067   | Visualización sliders en tarjetas| Mostrar sliders en tarjetas.                                        | Datos slider                  | Renderizar tarjetas                                       | Tarjetas visibles                 | Datos completos y actualizados                 |
| RF-BCK-AU-068   | Editor descripción empresa    | Gestionar descripción de la empresa con editor de contenido.           | Texto empresa                 | Editar y guardar descripción                               | Descripción visible               | Texto actualizado y editable                    |
| RF-BCK-AU-069   | SEO sobre nosotros            | Definir metadatos SEO para sección Sobre Nosotros.                     | Datos SEO                     | Guardar y mostrar metadatos                                | SEO registrado                     | Metadatos visibles y editables                  |
| RF-BCK-AU-070   | Gestión video corporativo     | Gestionar video corporativo de la empresa.                             | Video empresa                 | Subir, editar, eliminar video                               | Video gestionado                   | Video visible y editable                        |
| RF-BCK-AU-071   | Desactivar video corporativo  | Permitir desactivar el video corporativo.                              | Video empresa                 | Cambiar estado                                            | Estado actualizado                  | Video no visible si está desactivado            |
| RF-BCK-AU-072   | Gestión equipo humano         | Gestionar equipo humano de la empresa.                                 | Datos equipo                  | Crear, editar, eliminar miembros                            | Equipo gestionado                   | Datos completos y actualizados                  |
| RF-BCK-BLG-073   | CRUD artículos blog           | Crear, ver, editar y eliminar artículos del blog.                      | Datos artículo                | Procesar operaciones CRUD                                 | Artículos gestionados                | Operaciones CRUD funcionales                    |
| RF-BCK-BLG-074   | Categorías y estados blog     | Definir categorías y estados para artículos del blog.                  | Datos artículo                | Guardar categorías y estados                               | Categorías/estados registrados       | Datos correctos y editables                     |
| RF-BCK-BLG-075   | Grilla de artículos blog      | Mostrar grilla con listado de artículos del blog.                      | Artículos                     | Consultar y mostrar en grilla                              | Grilla visible                       | Datos completos y correctos                     |
| RF-BCK-BLG-076   | Detalle de artículo blog      | Permitir ver el detalle de un artículo del blog.                       | Artículo                      | Consultar y mostrar detalle                                | Detalle visible                      | Información completa y legible                  |
| RF-BCK-BLG-077   | Dashboard métricas blog       | Mostrar dashboard con métricas del blog.                               | Artículos, métricas           | Calcular y mostrar métricas                                | Dashboard visible                     | Métricas correctas y actualizadas               |
| RF-BCK-CMS-078   | Gestión propiedades destacadas| Gestionar propiedades destacadas en página de inicio.                  | Propiedades                   | Seleccionar y mostrar destacadas                            | Propiedades destacadas                | Aparecen en home del portal                      |
| RF-BCK-CMS-079   | Configuración footer          | Configurar el pie de página (footer) del portal.                       | Datos footer                  | Editar y guardar configuración                               | Footer configurado                    | Cambios reflejados en portal                     |
| RF-BCK-CMS-080   | Gestión identidad portal      | Gestionar identidad del portal (logo y nombre principal).              | Datos identidad               | Editar y guardar identidad                                   | Identidad actualizada                  | Cambios reflejados en portal                     |
| RF-BCK-REP-081   | Generar reportes con filtros  | Generar reportes aplicando filtros configurables.                      | Parámetros filtro             | Consultar y generar reporte                                 | Reporte generado                       | Filtros aplicados correctamente                 |
| RF-BCK-REP-082   | Vista previa de reportes      | Permitir vista previa de reportes antes de descargar/imprimir.         | Reporte                       | Renderizar vista previa                                      | Vista previa visible                    | Información completa y legible                  |
| RF-BCK-REP-083   | Imprimir/descargar reportes   | Permitir impresión y descarga de reportes.                             | Reporte                       | Procesar impresión/descarga                                 | Archivo generado                        | Archivo correcto y descargable                  |
| RF-BCK-AUD-084   | Registro de logs de acciones  | Registrar actividad y logs de acciones de usuarios.                    | Acciones usuario              | Registrar en bitácora                                         | Log registrado                           | Log aparece en auditoría                        |
| RF-BCK-AUD-085   | Visualización de logs         | Visualizar logs en grilla y ver detalle de cada acción.                | Logs                          | Consultar y mostrar logs                                      | Logs visibles                             | Información completa y legible                  |
| RF-BCK-NOT-086   | Gestión de notificaciones     | Gestionar correos automatizados y notificaciones.                      | Datos notificación            | Configurar y enviar notificaciones                             | Notificación enviada                      | Notificaciones llegan correctamente             |
| RF-BCK-GEN-089   | Estandarización de grillas    | Estandarizar grillas: búsqueda global, paginación, filtro, exportar, botones por fila. | Datos grilla                  | Configurar y mostrar grilla                                   | Grilla estandarizada                      | Todas las funciones disponibles                |
| RF-BCK-GEN-090   | Gestión de imágenes           | Implementar sistema de gestión de imágenes con registro de nombre y URL.| Imagen                        | Guardar nombre y URL en base de datos                          | Imagen registrada                          | Datos correctos y accesibles                   |
| RF-BCK-GEN-091   | Generar sitemap portal        | Generar sitemap para el portal para SEO.                               | -                             | Generar y publicar sitemap                                    | Sitemap generado                            | Archivo accesible y correcto                   |
| RF-BCK-GEN-092   | Archivo robots.txt            | Crear archivo robots.txt que excluya Backoffice de motores de búsqueda. | -                             | Generar y publicar archivo robots.txt                         | Archivo generado                             | Backoffice excluido correctamente              |
| RF-BCK-DAS-001   | Dashboard general              | Mostrar visión general del estado de la plataforma y KPIs principales. | -                           | Consultar métricas y renderizar dashboard | Dashboard visible           | KPIs y métricas correctas y actualizadas |
| RF-BCK-DAS-002   | Ventas totales                 | Presentar ventas totales y comparación con mes anterior.               | Datos ventas                | Calcular y mostrar ventas y variación     | Ventas y variación visibles | Datos correctos y comparativos           |
| RF-BCK-DAS-003   | Nuevos miembros                | Mostrar número de nuevos miembros y comparación mensual.                | Datos usuarios              | Calcular y mostrar nuevos miembros        | Nuevos miembros visibles    | Datos correctos y comparativos           |
| RF-BCK-PRO-010   | CRUD de propiedades            | Crear, ver, editar y eliminar propiedades.                             | Datos propiedad             | Procesar operaciones CRUD                 | Propiedades gestionadas     | Operaciones CRUD funcionales             |
| RF-BCK-PRO-011   | Estados de propiedad           | Gestionar estados: Evaluación, Pre-aprobada, Publicada, etc.           | Estado propiedad            | Cambiar y mostrar estado                  | Estado actualizado          | Estados reflejan flujo de negocio        |
| RF-BCK-PRO-021   | Historial de cambios           | Mostrar historial tipo Trello de cambios en propiedad.                  | Cambios propiedad           | Registrar y mostrar historial             | Historial visible           | Cambios auditables y trazables           |
| RF-BCK-SOL-030   | Grilla de solicitudes          | Visualizar solicitudes de publicación con filtros.                      | Solicitudes sistema         | Consultar y mostrar en grilla             | Grilla visible              | Filtros y visualización funcional        |
| RF-BCK-SOL-034   | Notificación aprobación        | Enviar correo y notificación al aprobar solicitud.                      | Solicitud aprobada          | Procesar y enviar notificación            | Notificación enviada         | Notificación llega correctamente         |
| RF-BCK-VAL-042   | Dashboard de valoraciones      | Mostrar métricas y comparativas de valoraciones.                        | Datos valoraciones          | Calcular y mostrar métricas               | Dashboard visible           | Métricas correctas y actualizadas        |
| RF-BCK-CON-045   | CRUD de contratos              | Crear, ver, editar y eliminar contratos de arriendo y venta.            | Datos contrato              | Procesar operaciones CRUD                 | Contratos gestionados        | Operaciones CRUD funcionales             |
| RF-BCK-ADM-051   | CRUD de administradores        | Crear, ver, editar y eliminar administradores.                          | Datos administrador         | Procesar operaciones CRUD                 | Administradores gestionados  | Operaciones CRUD funcionales             |
| RF-BCK-AGE-056   | CRUD de agentes                | Crear, ver, editar y eliminar agentes.                                  | Datos agente                | Procesar operaciones CRUD                 | Agentes gestionados          | Operaciones CRUD funcionales             |
| RF-AUD-001       | Auditoría de usuarios          | Registrar creación, edición, eliminación y cambios de roles/estado.     | Acciones usuario            | Registrar evento en bitácora              | Evento auditado              | Evento aparece en log de auditoría       |
| RF-AUD-002       | Auditoría de propiedades       | Registrar creación, edición, eliminación y cambios de estado.           | Acciones propiedad          | Registrar evento en bitácora              | Evento auditado              | Evento aparece en log de auditoría       |
| RF-AUD-003       | Auditoría de contratos         | Registrar creación, edición, cierre y cambios de participantes.         | Acciones contrato           | Registrar evento en bitácora              | Evento auditado              | Evento aparece en log de auditoría       |
| RF-AUD-004       | Auditoría de solicitudes       | Registrar creación, gestión y cambios de estado de solicitudes.         | Acciones solicitud          | Registrar evento en bitácora              | Evento auditado              | Evento aparece en log de auditoría       |
| RF-AUD-005       | Auditoría de notificaciones    | Registrar envío y cambios de configuración de notificaciones.           | Acciones notificación       | Registrar evento en bitácora              | Evento auditado              | Evento aparece en log de auditoría       |
| RF-AUD-006       | Auditoría de CMS y contenido   | Registrar cambios en sliders, blog, testimonios, identidad visual.      | Acciones CMS                | Registrar evento en bitácora              | Evento auditado              | Evento aparece en log de auditoría       |
| RF-AUD-007       | Auditoría de reportes/exportes | Registrar generación y descarga de reportes y exportaciones sensibles.  | Acciones reporte            | Registrar evento en bitácora              | Evento auditado              | Evento aparece en log de auditoría       |
| RF-AUD-008       | Auditoría de seguridad         | Registrar cambios en configuración de seguridad y accesos.              | Acciones seguridad          | Registrar evento en bitácora              | Evento auditado              | Evento aparece en log de auditoría       |
| RF-AUD-009       | Auditoría de configuración     | Registrar cambios en parámetros globales y configuraciones críticas.    | Acciones configuración      | Registrar evento en bitácora              | Evento auditado              | Evento aparece en log de auditoría       |
| RF-PRTL-HM-TBR-01   | Logo en Topbar              | Mostrar el logo de la empresa en la parte superior derecha. | -                           | Renderizar logo en topbar                | Logo visible                | Logo visible en topbar                   |
| RF-PRTL-HM-TBR-02   | Valor UF en Topbar          | Mostrar el valor de la UF del día en el topbar.             | Valor UF (API)              | Obtener y mostrar valor UF                | Valor UF visible            | Valor UF actualizado y visible           |
| RF-PRTL-HM-TBR-03   | Botón Login                 | Mostrar botón "Login" que dirige a formulario de login.     | -                           | Renderizar botón y redirigir              | Acceso a login              | Botón visible y funcional                |
| RF-PRTL-HM-TBR-04   | Botón Regístrate            | Mostrar botón "Regístrate" que dirige a registro.           | -                           | Renderizar botón y redirigir              | Acceso a registro           | Botón visible y funcional                |
| RF-PRTL-HM-TBR-05   | Menú usuario logueado       | Mostrar icono menú (sidebar) para usuarios logueados.       | Sesión usuario              | Verificar sesión y mostrar menú           | Menú visible                | Menú solo visible si usuario logueado    |
| RF-PRTL-LOG-06      | Opción Olvidé Contraseña    | Incluir opción "¿Olvidaste tu contraseña?" en login.        | Email usuario               | Mostrar opción y enviar email recuperación | Email recuperación enviado  | Email enviado correctamente              |
| RF-PRTL-LOG-07      | Recuperación de contraseña  | Enviar email automático para recuperación.                  | Email usuario               | Procesar solicitud y enviar email         | Email recuperación enviado  | Email llega al usuario                   |
| RF-PRTL-RGT-08      | Formulario de registro      | Solicitar usuario, correo y contraseña.                     | Usuario, correo, contraseña | Validar y registrar usuario               | Usuario registrado          | Usuario puede iniciar sesión             |
| RF-PRTL-RGT-09      | Validación de correo        | Enviar email automático para validar correo.                | Email usuario               | Enviar email de validación                | Email validación enviado    | Usuario valida correo                    |
| RF-PRTL-RGT-10      | Pop-up invitación registro  | Mostrar pop-up invitando a registrarse con beneficios.      | -                           | Mostrar pop-up en home                    | Pop-up visible              | Pop-up aparece a visitantes              |
| RF-PRTL-HM-NAV-11   | Barra de navegación         | Barra con enlaces a secciones principales.                  | -                           | Renderizar barra con enlaces              | Navegación funcional        | Todos los enlaces funcionan              |
| RF-PRTL-HM-SBR-12   | Sidebar usuario             | Sidebar con enlaces a secciones de usuario.                 | Sesión usuario              | Renderizar sidebar según usuario          | Sidebar visible             | Sidebar solo para usuarios logueados     |
| RF-PRTL-HM-SLD-13   | Slider multimedia           | Slider con imágenes/videos definidos en Backoffice.          | Multimedia CMS              | Cargar y mostrar slider                   | Slider funcional            | Slider muestra contenido CMS             |
| RF-PRTL-HM-SLD-14   | Botones slider              | Botones para avanzar/retroceder en slider.                  | -                           | Renderizar botones y controlar slider     | Navegación slider           | Botones funcionan correctamente          |
| RF-PRTL-HM-SLD-15   | Indicadores slider          | Botones pequeños para indicar posición y navegar.            | -                           | Renderizar indicadores y controlar slider | Indicadores funcionales      | Indicadores reflejan posición actual     |
| RF-PRTL-HM-SBN-16   | Descripción empresa         | Mostrar descripción de empresa desde Backoffice.             | Texto CMS                   | Cargar y mostrar descripción              | Descripción visible         | Texto actualizado desde CMS              |
| RF-PRTL-HM-SBN-17   | Video institucional         | Mostrar video institucional definido en Backoffice.          | Video CMS                   | Cargar y mostrar video                    | Video visible               | Video se reproduce correctamente         |
| RF-PRTL-HM-SBN-18   | Equipo en tarjetas          | Mostrar equipo en tarjetas con datos desde Backoffice.       | Datos equipo CMS            | Renderizar tarjetas                       | Tarjetas equipo visibles    | Datos completos y actualizados           |
| RF-PRTL-HM-SBN-19   | Layout descripción/video    | Compartir espacio entre descripción y video.                 | Texto y video CMS           | Layout responsive                         | Layout correcto             | Ambos elementos visibles y ordenados      |
| RF-PRTL-HM-SBN-20   | Centrado sin video          | Centrar descripción si video está desactivado.               | Texto CMS                   | Layout centrado                           | Descripción centrada        | Solo descripción visible y centrada      |
| RF-PRTL-HM-SBN-21   | Logo en "Nuestro Equipo"   | Mostrar logo empresa en centro de sección equipo.            | Logo CMS                    | Renderizar logo                           | Logo visible                | Logo centrado en sección equipo          |
| RF-PRTL-HM-SBN-22   | Datos en tarjetas equipo    | Mostrar cargo, contacto, teléfono y correo si existen.       | Datos equipo CMS            | Renderizar datos en tarjetas              | Datos visibles              | Solo datos no vacíos se muestran         |
| RF-PRTL-PUB-23      | Stepper publicación         | Formulario por pasos para publicar propiedad.                | Datos propiedad usuario     | Validar y avanzar pasos                   | Solicitud publicación       | Formulario usable y validado             |
| RF-PRTL-PUB-24      | Campos publicación          | Campos: operación, tipo, región, comuna, baños, etc.         | Datos usuario               | Mostrar campos según tipo de propiedad    | Datos capturados            | Todos los campos requeridos presentes     |
| RF-PRTL-PUB-25      | Campos dinámicos publicación| Ocultar campos no habilitados según tipo de propiedad.       | Tipo propiedad              | Consultar configuración y mostrar campos  | Formulario adaptativo       | Solo campos habilitados visibles         |
| RF-PRTL-PUB-26      | Subida multimedia           | Permitir subir imágenes y videos en publicación.             | Archivos usuario            | Procesar y almacenar archivos             | Multimedia subida           | Archivos se visualizan correctamente     |
| RF-PRTL-PUB-27      | Geolocalización propiedad   | Selección de ubicación en mapa para geolocalización.         | Ubicación usuario           | Capturar y mostrar ubicación en mapa      | Ubicación registrada        | Mapa interactivo y ubicación precisa     |
| RF-PRTL-VLP-28      | Stepper valoración          | Formulario por pasos para avalúo automatizado.               | Datos propiedad usuario     | Validar y avanzar pasos                   | Avalúo generado             | Avalúo calculado y mostrado              |
| RF-PRTL-VLP-29      | Campos valoración           | Campos: operación, tipo, región, comuna, etc.                | Datos usuario               | Mostrar campos según tipo de propiedad    | Datos capturados            | Todos los campos requeridos presentes     |
| RF-PRTL-VLP-30      | Opción publicar en valoración| Opción de publicar propiedad tras valoración.                | Selección usuario           | Mostrar opción y procesar decisión        | Solicitud publicación       | Opción visible y funcional               |
| RF-PRTL-VLP-31      | Multimedia en valoración    | Permitir agregar fotos/videos si se publica tras valoración. | Archivos usuario            | Procesar y almacenar archivos             | Multimedia subida           | Archivos se visualizan correctamente     |
| RF-PRTL-VLP-32      | Origen "valoración"         | Enviar solicitud de publicación con origen "valoración".     | Datos valoración            | Generar y enviar solicitud                | Solicitud enviada           | Origen correctamente registrado          |
| RF-PRTL-PRP-33      | Filtro de propiedades       | Filtro: operación, tipo, región, comuna, valor.              | Parámetros usuario          | Filtrar propiedades                       | Listado filtrado            | Filtros funcionan correctamente          |
| RF-PRTL-PRP-34      | Listado de propiedades      | Mostrar propiedades en tarjetas.                             | Propiedades sistema         | Renderizar tarjetas                       | Tarjetas visibles           | Todas las propiedades listadas           |
| RF-PRTL-PRP-35      | Iconos en tarjetas          | Iconos para baños, habitaciones, metros, estacionamientos.   | Datos propiedad             | Renderizar iconos y valores               | Iconos visibles             | Iconos correctos y legibles              |
| RF-PRTL-PRP-36      | Valor en UF/Pesos           | Mostrar valor según configuración Backoffice.                | Configuración sistema       | Mostrar valor en UF o pesos               | Valor visible               | Valor correcto según configuración       |
| RF-PRTL-PRP-37      | Favoritos en tarjetas       | Opción de marcar como favorito (solo miembros).              | Sesión usuario              | Mostrar opción y procesar favoritos       | Favoritos registrados       | Solo miembros pueden marcar favoritos    |
| RF-PRTL-DPR-38      | URL única detalle           | Proveer URL única para cada propiedad publicada.             | ID propiedad                | Generar y exponer URL                     | URL accesible               | URL única y funcional                    |
| RF-PRTL-DPR-39      | Redirección si no publicada | Redirigir si propiedad no está publicada.                    | Estado propiedad            | Verificar estado y redirigir              | Redirección correcta        | Solo propiedades publicadas accesibles   |
| RF-PRTL-DPR-40      | Imágenes en detalle         | Visualizar imágenes de la propiedad.                         | Multimedia propiedad        | Renderizar imágenes                       | Imágenes visibles           | Todas las imágenes cargan correctamente  |
| RF-PRTL-DPR-41      | Video en detalle            | Visualizar video si está disponible.                         | Video propiedad             | Renderizar video                          | Video visible               | Video se reproduce correctamente         |
| RF-PRTL-DPR-42      | Iconos y valores detalle    | Mostrar iconos y valores de atributos en detalle.            | Datos propiedad             | Renderizar iconos y valores               | Iconos y valores visibles   | Todos los atributos mostrados            |
